citation_id,country_or_region,source_label,source_title,source_url,application_type,application_decision,decision_basis
[2],Germany,Germany - Berlin - BSR / Berliner Stadtreinigung waste-company guidance,Biogut: Abfall mit Mehrfach-Nutzen,https://www.bsr.de/biogut,Tea/coffee preparation items,Rejected,Source-level evidence rejects compostable packaging/items or identifies no accepted organics route.
[3],Germany,Germany - Munich - AWM München / municipal sorting rule,Menü,https://www.awm-muenchen.de/abfall-entsorgen/abfalllexikon/detailansicht-lexikoneintrag/bioabfall,Food-waste liners / collection bags,Rejected,Source-level evidence rejects compostable packaging/items or identifies no accepted organics route.
[4],Germany,Germany - Hamburg - Stadtreinigung Hamburg / Wirfuerbio guidance,Facebook,https://www.wirfuerbio.de/srh/,Food-waste liners / collection bags,Rejected,Source-level evidence rejects compostable packaging/items or identifies no accepted organics route.
[5],Germany,Germany - Kitzingen district - Landratsamt Kitzingen / regional government guidance,Landratsamt Kitzingen,https://www.abfallwelt.de/abfaelle/kompostierbare-biomuellbeutel/,Generic compostable packaging / plastics,Rejected,Source-level evidence rejects compostable packaging/items or identifies no accepted organics route.
[7],Germany,Germany - Bamberg - Stadt Bamberg / Biomüll municipal sorting rule,Untermenü,https://www.stadt.bamberg.de/index.php?La=1&mNavID=1829.6&sNavID=1829.450,Generic compostable packaging / plastics,Rejected,Source-level evidence rejects compostable packaging/items or identifies no accepted organics route.
[9],Netherlands,Netherlands - National - Milieu Centraal / government-backed sorting guidance,You are here:,https://www.milieucentraal.nl/minder-afval/afval-scheiden/welk-afval-waar/,Tea/coffee preparation items,Rejected,Source-level evidence rejects compostable packaging/items or identifies no accepted organics route.
[10],Netherlands,Netherlands - HVC service area - HVC / waste-management company guidance,Schoon gft-afval = schoon compost,https://www.hvcgroep.nl/ons-verhaal/nieuws/gft-en-etensresten-hou-het-schoon,Food-waste liners / collection bags,Accepted,Food-waste liners/collection bags are accepted in the ordinary organics route; certification or compostability wording is treated as product qualification.
[10],Netherlands,Netherlands - HVC service area - HVC / waste-management company guidance,Schoon gft-afval = schoon compost,https://www.hvcgroep.nl/ons-verhaal/nieuws/gft-en-etensresten-hou-het-schoon,Flexible films/wraps/pouches,Rejected,Source-level rule is liner-only; this broader application category is outside the accepted application scope.
[10],Netherlands,Netherlands - HVC service area - HVC / waste-management company guidance,Schoon gft-afval = schoon compost,https://www.hvcgroep.nl/ons-verhaal/nieuws/gft-en-etensresten-hou-het-schoon,Generic compostable packaging / plastics,Rejected,Source-level rule is liner-only; this broader application category is outside the accepted application scope.
[11],Netherlands,Netherlands - Roosendaal / Saver service area - Saver NV / waste-company guidance,Hoe gebruik ik composteerbare zakjes? | Saver,https://saver.nl/nieuws-gebruik-composteerbare-zakjes,Food-waste liners / collection bags,Accepted,Food-waste liners/collection bags are accepted in the ordinary organics route; certification or compostability wording is treated as product qualification.
[11],Netherlands,Netherlands - Roosendaal / Saver service area - Saver NV / waste-company guidance,Hoe gebruik ik composteerbare zakjes? | Saver,https://saver.nl/nieuws-gebruik-composteerbare-zakjes,Food-service ware / takeaway packaging,Rejected,Source-level rule is liner-only; this broader application category is outside the accepted application scope.
[12],Netherlands,Netherlands - National - VANG-HHA / Rijkswaterstaat-linked guidance / national government guidance,--- Page 1 ---,https://vang-hha.nl/publish/pages/195563/qena-wat-mag-wel-en-niet-in-de-afvalbak-120324.pdf,Tea/coffee preparation items,Rejected,Source-level evidence rejects compostable packaging/items or identifies no accepted organics route.
[12],Netherlands,Netherlands - National - VANG-HHA / Rijkswaterstaat-linked guidance / national government guidance,--- Page 1 ---,https://vang-hha.nl/publish/pages/195563/qena-wat-mag-wel-en-niet-in-de-afvalbak-120324.pdf,Generic compostable packaging / plastics,Rejected,Source-level evidence rejects compostable packaging/items or identifies no accepted organics route.
[13],Netherlands,Netherlands - Maashorst - Gemeente Maashorst / municipal sorting rule,Voorlezen,https://www.gemeentemaashorst.nl/inwoners/afval/tips/wat-mag-niet-in-de-gfte-container/,Food-waste liners / collection bags,Rejected,Source-level evidence rejects compostable packaging/items or identifies no accepted organics route.
[13],Netherlands,Netherlands - Maashorst - Gemeente Maashorst / municipal sorting rule,Voorlezen,https://www.gemeentemaashorst.nl/inwoners/afval/tips/wat-mag-niet-in-de-gfte-container/,Food-service ware / takeaway packaging,Rejected,Source-level evidence rejects compostable packaging/items or identifies no accepted organics route.
[13],Netherlands,Netherlands - Maashorst - Gemeente Maashorst / municipal sorting rule,Voorlezen,https://www.gemeentemaashorst.nl/inwoners/afval/tips/wat-mag-niet-in-de-gfte-container/,Tea/coffee preparation items,Rejected,Source-level evidence rejects compostable packaging/items or identifies no accepted organics route.
[13],Netherlands,Netherlands - Maashorst - Gemeente Maashorst / municipal sorting rule,Voorlezen,https://www.gemeentemaashorst.nl/inwoners/afval/tips/wat-mag-niet-in-de-gfte-container/,Generic compostable packaging / plastics,Rejected,Source-level evidence rejects compostable packaging/items or identifies no accepted organics route.
[14],Netherlands,Netherlands - Hoeksche Waard / BAR area - RAD / waste-company guidance,Gft,https://www.radbv.nl/gft/,Food-waste liners / collection bags,Rejected,Source-level evidence rejects compostable packaging/items or identifies no accepted organics route.
[14],Netherlands,Netherlands - Hoeksche Waard / BAR area - RAD / waste-company guidance,Gft,https://www.radbv.nl/gft/,Tea/coffee preparation items,Rejected,Source-level evidence rejects compostable packaging/items or identifies no accepted organics route.
[14],Netherlands,Netherlands - Hoeksche Waard / BAR area - RAD / waste-company guidance,Gft,https://www.radbv.nl/gft/,Food-soiled paper / fibre packaging,Rejected,Source-level evidence rejects compostable packaging/items or identifies no accepted organics route.
[14],Netherlands,Netherlands - Hoeksche Waard / BAR area - RAD / waste-company guidance,Gft,https://www.radbv.nl/gft/,Generic compostable packaging / plastics,Rejected,Source-level evidence rejects compostable packaging/items or identifies no accepted organics route.
[15],Netherlands,Netherlands - Limburg South - RD4 / waste-company guidance,Direct naar de inhoud,https://rd4.nl/biozak,Food-waste liners / collection bags,Rejected,Source-level evidence rejects compostable packaging/items or identifies no accepted organics route.
[16],Netherlands,Netherlands - Rotterdam - Gemeente Rotterdam / municipal sorting rule,Leestijd: 8 min,https://www.rotterdam.nl/groente-fruit-en-etensresten-en-tuinafval,Food-service ware / takeaway packaging,Rejected,Source-level evidence rejects compostable packaging/items or identifies no accepted organics route.
[16],Netherlands,Netherlands - Rotterdam - Gemeente Rotterdam / municipal sorting rule,Leestijd: 8 min,https://www.rotterdam.nl/groente-fruit-en-etensresten-en-tuinafval,Tea/coffee preparation items,Rejected,Source-level evidence rejects compostable packaging/items or identifies no accepted organics route.
[17],Netherlands,Netherlands - Twente Region - Twente Milieu / waste-company guidance,"Wel/niet lijst voor gft-afval (GFT, GFT-E, GFE)",https://vang-hha.nl/,Tea/coffee preparation items,Rejected,Source-level evidence rejects compostable packaging/items or identifies no accepted organics route.
[17],Netherlands,Netherlands - Twente Region - Twente Milieu / waste-company guidance,"Wel/niet lijst voor gft-afval (GFT, GFT-E, GFE)",https://vang-hha.nl/,Food-soiled paper / fibre packaging,Rejected,Source-level evidence rejects compostable packaging/items or identifies no accepted organics route.
[17],Netherlands,Netherlands - Twente Region - Twente Milieu / waste-company guidance,"Wel/niet lijst voor gft-afval (GFT, GFT-E, GFE)",https://vang-hha.nl/,Generic compostable packaging / plastics,Rejected,Source-level evidence rejects compostable packaging/items or identifies no accepted organics route.
[18],Belgium,Belgium - Flanders - OVAM / regional government guidance,Bioplastics,https://ovam.vlaanderen.be/bioplastics,Generic compostable packaging / plastics,Rejected,Source-level evidence rejects compostable packaging/items or identifies no accepted organics route.
[19],Belgium,Belgium - Brussels-Capital Region - Bruxelles-Proprete / municipal sorting rule,Sorting and recycling your waste,https://www.arp-gan.be/en/sorting,Food-service ware / takeaway packaging,Rejected,Source-level evidence rejects compostable packaging/items or identifies no accepted organics route.
[19],Belgium,Belgium - Brussels-Capital Region - Bruxelles-Proprete / municipal sorting rule,Sorting and recycling your waste,https://www.arp-gan.be/en/sorting,Food-soiled paper / fibre packaging,Rejected,Source-level evidence rejects compostable packaging/items or identifies no accepted organics route.
[20],France,France - National - ADEME / government advisory,Accueil,https://www.ademe.fr/presse/communique-national/avis-de-lademe-les-limites-des-emballages-en-plastique-compostables/,Food-service ware / takeaway packaging,Rejected,Source-level evidence rejects compostable packaging/items or identifies no accepted organics route.
[20],France,France - National - ADEME / government advisory,Accueil,https://www.ademe.fr/presse/communique-national/avis-de-lademe-les-limites-des-emballages-en-plastique-compostables/,Tea/coffee preparation items,Rejected,Source-level evidence rejects compostable packaging/items or identifies no accepted organics route.
[20],France,France - National - ADEME / government advisory,Accueil,https://www.ademe.fr/presse/communique-national/avis-de-lademe-les-limites-des-emballages-en-plastique-compostables/,Generic compostable packaging / plastics,Rejected,Source-level evidence rejects compostable packaging/items or identifies no accepted organics route.
[21],France,France - Paris - Ville de Paris / municipal sorting rule,Comment trier ses déchets alimentaires à Paris ?,https://www.paris.fr/pages/le-tri-des-dechets-alimentaires-a-paris-24842,Food-waste liners / collection bags,Accepted,Food-waste liners/collection bags are accepted in the ordinary organics route; certification or compostability wording is treated as product qualification.
[21],France,France - Paris - Ville de Paris / municipal sorting rule,Comment trier ses déchets alimentaires à Paris ?,https://www.paris.fr/pages/le-tri-des-dechets-alimentaires-a-paris-24842,Tea/coffee preparation items,Rejected,Source-level rule is liner-only; this broader application category is outside the accepted application scope.
[22],France,France - Lyon Metropole - Metropole de Lyon / municipal sorting rule,Vos questions sur les bornes à compost,https://www.grandlyon.com/mes-services-au-quotidien/gerer-ses-dechets/utiliser-une-borne-a-compost/vos-questions-sur-les-bornes-a-compost,Food-waste liners / collection bags,Accepted with conditions,"Food-waste liners are accepted only as official/designated, locally/facility-approved, or otherwise restricted collection items."
[22],France,France - Lyon Metropole - Metropole de Lyon / municipal sorting rule,Vos questions sur les bornes à compost,https://www.grandlyon.com/mes-services-au-quotidien/gerer-ses-dechets/utiliser-une-borne-a-compost/vos-questions-sur-les-bornes-a-compost,Food-service ware / takeaway packaging,Rejected,Source-level rule is liner-only; this broader application category is outside the accepted application scope.
[22],France,France - Lyon Metropole - Metropole de Lyon / municipal sorting rule,Vos questions sur les bornes à compost,https://www.grandlyon.com/mes-services-au-quotidien/gerer-ses-dechets/utiliser-une-borne-a-compost/vos-questions-sur-les-bornes-a-compost,Tea/coffee preparation items,Rejected,Source-level rule is liner-only; this broader application category is outside the accepted application scope.
[22],France,France - Lyon Metropole - Metropole de Lyon / municipal sorting rule,Vos questions sur les bornes à compost,https://www.grandlyon.com/mes-services-au-quotidien/gerer-ses-dechets/utiliser-une-borne-a-compost/vos-questions-sur-les-bornes-a-compost,Food-soiled paper / fibre packaging,Rejected,Source-level rule is liner-only; this broader application category is outside the accepted application scope.
[22],France,France - Lyon Metropole - Metropole de Lyon / municipal sorting rule,Vos questions sur les bornes à compost,https://www.grandlyon.com/mes-services-au-quotidien/gerer-ses-dechets/utiliser-une-borne-a-compost/vos-questions-sur-les-bornes-a-compost,Generic compostable packaging / plastics,Rejected,Source-level rule is liner-only; this broader application category is outside the accepted application scope.
[23],Italy,Italy - Veneto / Contarina - Contarina / waste-management company,SPORTELLO ONLINE,https://contarina.it/impresa/racolta-differenziata/sacchetti-e-imballaggi-in-materiale-compostabile-1,Food-waste liners / collection bags,Accepted,"Application is accepted in the ordinary organics route; certification or generic compostability is treated as product qualification, not a scenario restriction."
[23],Italy,Italy - Veneto / Contarina - Contarina / waste-management company,SPORTELLO ONLINE,https://contarina.it/impresa/racolta-differenziata/sacchetti-e-imballaggi-in-materiale-compostabile-1,Food-service ware / takeaway packaging,Accepted,"Application is accepted in the ordinary organics route; certification or generic compostability is treated as product qualification, not a scenario restriction."
[23],Italy,Italy - Veneto / Contarina - Contarina / waste-management company,SPORTELLO ONLINE,https://contarina.it/impresa/racolta-differenziata/sacchetti-e-imballaggi-in-materiale-compostabile-1,Shopping/produce bags,Accepted,"Application is accepted in the ordinary organics route; certification or generic compostability is treated as product qualification, not a scenario restriction."
[23],Italy,Italy - Veneto / Contarina - Contarina / waste-management company,SPORTELLO ONLINE,https://contarina.it/impresa/racolta-differenziata/sacchetti-e-imballaggi-in-materiale-compostabile-1,Generic compostable packaging / plastics,Accepted,"Application is accepted in the ordinary organics route; certification or generic compostability is treated as product qualification, not a scenario restriction."
[24],Italy,Italy - National - Italian national bag rules / government-policy evidence,Divieto di commercializzazione dei sacchetti non biodegradabili e compostabili,https://www.comitatoparchi.it/ambiente-ecologia/divieto-di-commercializzazione-dei-sacchetti-non-biodegradabili-e-compostabili/,Shopping/produce bags,Unclear or not stated,"Application is mentioned, but no explicit application-level acceptance or rejection decision is stated."
[24],Italy,Italy - National - Italian national bag rules / government-policy evidence,Divieto di commercializzazione dei sacchetti non biodegradabili e compostabili,https://www.comitatoparchi.it/ambiente-ecologia/divieto-di-commercializzazione-dei-sacchetti-non-biodegradabili-e-compostabili/,Generic compostable packaging / plastics,Unclear or not stated,"Application is mentioned, but no explicit application-level acceptance or rejection decision is stated."
[26],Italy,Italy - Monza - Comune di Monza / MonzaPulita / municipal sorting rule,RISPETTIAMO IL PIANETA,https://www.monzapulita.it/interno.php?id=13,Food-service ware / takeaway packaging,Accepted,"Application is accepted in the ordinary organics route; certification or generic compostability is treated as product qualification, not a scenario restriction."
[26],Italy,Italy - Monza - Comune di Monza / MonzaPulita / municipal sorting rule,RISPETTIAMO IL PIANETA,https://www.monzapulita.it/interno.php?id=13,Shopping/produce bags,Accepted,"Application is accepted in the ordinary organics route; certification or generic compostability is treated as product qualification, not a scenario restriction."
[26],Italy,Italy - Monza - Comune di Monza / MonzaPulita / municipal sorting rule,RISPETTIAMO IL PIANETA,https://www.monzapulita.it/interno.php?id=13,Generic compostable packaging / plastics,Accepted,"Application is accepted in the ordinary organics route; certification or generic compostability is treated as product qualification, not a scenario restriction."
[27],Italy,Italy - Buccinasco - Comune di Buccinasco / municipal sorting rule,Eco(R)esistenza,https://www.comune.buccinasco.mi.it/it/page/trasparenza-servizio-gestione-rifiuti,Food-waste liners / collection bags,Rejected,Source-level evidence rejects compostable packaging/items or identifies no accepted organics route.
[27],Italy,Italy - Buccinasco - Comune di Buccinasco / municipal sorting rule,Eco(R)esistenza,https://www.comune.buccinasco.mi.it/it/page/trasparenza-servizio-gestione-rifiuti,Food-service ware / takeaway packaging,Rejected,Source-level evidence rejects compostable packaging/items or identifies no accepted organics route.
[27],Italy,Italy - Buccinasco - Comune di Buccinasco / municipal sorting rule,Eco(R)esistenza,https://www.comune.buccinasco.mi.it/it/page/trasparenza-servizio-gestione-rifiuti,Flexible films/wraps/pouches,Rejected,Source-level evidence rejects compostable packaging/items or identifies no accepted organics route.
[27],Italy,Italy - Buccinasco - Comune di Buccinasco / municipal sorting rule,Eco(R)esistenza,https://www.comune.buccinasco.mi.it/it/page/trasparenza-servizio-gestione-rifiuti,Generic compostable packaging / plastics,Rejected,Source-level evidence rejects compostable packaging/items or identifies no accepted organics route.
