citation_id,country_or_region,subnational_or_context,source_label,source_title,source_url,Source Authority,Stated Organic-waste Treatment Route,Treatment Route Coding Note,Acceptance,Certification and Approval Basis,Rejection Rationale,Application Groups Detected,Source-level Sensitivity Group
[1],Germany,National / local practice varies,Germany - National / local practice varies - BioAbfV + surveyed municipal practice,Verordnung über die Verwertung von Bioabfällen auf Böden,https://www.gesetze-im-internet.de/bioabfv/BJNR295500998.html,National rule or policy,Composting,Named downstream treatment route detected,Rejected,EN 13432 / OK compost / Seedling,Compost/digestate quality or contamination concern,Organic-waste system context only,National/supranational sources
[2],Germany,Berlin,Germany - Berlin - BSR / Berliner Stadtreinigung waste-company guidance,Biogut: Abfall mit Mehrfach-Nutzen,https://www.bsr.de/biogut,Waste operator or treatment-facility rule,AD/biogas + composting,Named downstream treatment route detected,Rejected,No named standard/approval stated,Compost/digestate quality or contamination concern,Tea/coffee preparation items,Sources below national level
[3],Germany,Munich,Germany - Munich - AWM München / municipal sorting rule,Menü,https://www.awm-muenchen.de/abfall-entsorgen/abfalllexikon/detailansicht-lexikoneintrag/bioabfall,Municipal sorting rule,Treatment route not stated,Collection/bin route stated only; downstream treatment technology not stated,Rejected,Generic compostable/biodegradable wording only,Reason not explicitly stated,Food-waste liners / collection bags,Sources below national level
[4],Germany,Hamburg,Germany - Hamburg - Stadtreinigung Hamburg / Wirfuerbio guidance,Facebook,https://www.wirfuerbio.de/srh/,Waste operator or treatment-facility rule,AD/biogas + composting,Named downstream treatment route detected,Rejected,Generic compostable/biodegradable wording only,Slow degradation / residence-time mismatch,Food-waste liners / collection bags,Sources below national level
[5],Germany,Kitzingen district,Germany - Kitzingen district - Landratsamt Kitzingen / regional government guidance,Landratsamt Kitzingen,https://www.abfallwelt.de/abfaelle/kompostierbare-biomuellbeutel/,"State, provincial, regional, or canton rule",Treatment route not stated,Collection/bin route stated only; downstream treatment technology not stated,Rejected,Generic compostable/biodegradable wording only,Compost/digestate quality or contamination concern,Generic compostable packaging / plastics,Sources below national level
[6],Germany,Landkreis Karlsruhe,Germany - Landkreis Karlsruhe - Abfallwirtschaftsbetrieb Landkreis Karlsruhe / waste-company guidance,Biobeutel | AWB LK KA | AWB LK KA,https://www.awb-landkreis-karlsruhe.de/abfallwirtschaftsbetrieb/abfallverwertung/bioabfall/biobeutel,Waste operator or treatment-facility rule,Treatment route not stated,Collection/bin route stated only; downstream treatment technology not stated,Collection liners only,EN 13432 / OK compost / Seedling,Compost/digestate quality or contamination concern,Organic-waste system context only,Sources below national level
[7],Germany,Bamberg,Germany - Bamberg - Stadt Bamberg / Biomüll municipal sorting rule,Untermenü,https://www.stadt.bamberg.de/index.php?La=1&mNavID=1829.6&sNavID=1829.450,Municipal sorting rule,Treatment route not stated,Collection/bin route stated only; downstream treatment technology not stated,Rejected,Generic compostable/biodegradable wording only,Compost/digestate quality or contamination concern,Generic compostable packaging / plastics,Sources below national level
[8],Germany,Cologne / Köln,Germany - Cologne / Köln - AWB Köln / AVG Niehl Composting Facility / waste-company guidance,Zum Inhalt der Seite springen.,https://www.awbkoeln.de/biotonne-fuer-uns,Waste operator or treatment-facility rule,Composting,Named downstream treatment route detected,Rejected,Generic compostable/biodegradable wording only,Compost/digestate quality or contamination concern,Organic-waste system context only,Sources below national level
[9],Netherlands,National,Netherlands - National - Milieu Centraal / government-backed sorting guidance,You are here:,https://www.milieucentraal.nl/minder-afval/afval-scheiden/welk-afval-waar/,National rule or policy,Treatment route not stated,Collection/bin route stated only; downstream treatment technology not stated,Rejected,No named standard/approval stated,Reason not explicitly stated,Tea/coffee preparation items,National/supranational sources
[10],Netherlands,HVC service area,Netherlands - HVC service area - HVC / waste-management company guidance,Schoon gft-afval = schoon compost,https://www.hvcgroep.nl/ons-verhaal/nieuws/gft-en-etensresten-hou-het-schoon,Waste operator or treatment-facility rule,Composting,Named downstream treatment route detected,Collection liners only,EN 13432 / OK compost / Seedling,Slow degradation / residence-time mismatch,Food-waste liners / collection bags; Flexible films/wraps/pouches; Generic compostable packaging / plastics,Sources below national level
