citation_id,source_label,application_type,application_decision,decision_basis,matched_regex_or_rule,matched_text,evidence_excerpt,reference_acceptance,reference_acceptance_matched_rule,reference_acceptance_matched_text
[2],Germany - Berlin - BSR / Berliner Stadtreinigung waste-company guidance,Tea/coffee preparation items,Rejected,Source-level evidence rejects compostable packaging/items or identifies no accepted organics route.,\b(tea\s*bag|teabag|coffee\s*filter|coffee\s*(pod|capsule)|k[- ]?cup|espresso\s*capsule|teebeutel|kaffeefilter|theezakjes?|koffiefilters?|sachet[s]?\s+de\s+th[ée]|filtre[s]?\s+.*caf[ée]|capsule[s]?\s+de\s+caf[ée])s?\b,teebeutel,"ickelt in Zeitungspapier) alte Lebensmittel (ohne Verpackung) Obst-/Gemüsereste, Schalen, auch von Zitrusfrüchten Kaffeesatz, -filter, Tee, Teebeutel, Eierschalen Küchenpapier Grün-/Strauchschnitt, Laub, Blumen (dafür auch BSR-Laubsäcke nutzen) Das darf nicht rein: Kunststoffe, Verpackung",Rejected,"(plastik|kunststoff|bioplastik|biokunststoff|kompostierbare?\w*\s+(biobeutel|beutel|t[üu]ten)|verpackungen|folien|t[üu]ten).{0,180}(d[üu]rfen\s+nicht|geh[öo]ren\s+nicht|nicht\s+in\s+(die\s+)?biotonne|darf\s+nicht\s+rein|kein\s+plastik|verboten|nicht\s+ausreichend)",plastik und auch bioplastik dürfen nicht in die biotonne
[3],Germany - Munich - AWM München / municipal sorting rule,Food-waste liners / collection bags,Rejected,Source-level evidence rejects compostable packaging/items or identifies no accepted organics route.,\b(sac[s]?\s+(compostable|biod[ée]gradable)|sacco\s+compostabile|sacchetti\s+compostabil\w*|bolsa\s+compostable|bolsas\s+compostables|sacos?\s+compost[áa]veis|kompostierbare?\w*\s+(beutel|t[üu]ten|biobeutel)|composteerbare?\w*\s+(zak|zakken|zakjes)|biozak\w*|bioposer|matavfallsp[åa]sar|bioavfallsp[åa]sar|bioj[äa]tepussi|vre[čc]ke|worki|s[áa][čc]ky)\b,kompostierbare biobeutel,"rom. Größere Mengen Baum- und Strauchschnitt können Sie an den Münchner Wertstoffhöfen entsorgen. Hinweis Plastiktüten und auch sogenannte ""kompostierbare Biobeutel"" dürfen nicht in die Biotonne! Biotonne In die gebührenfreien Biotonnen sollen Küchen- und Gartenabfälle. Mehr Infos Auf dieser Website ve",Rejected,"(plastik|kunststoff|bioplastik|biokunststoff|kompostierbare?\w*\s+(biobeutel|beutel|t[üu]ten)|verpackungen|folien|t[üu]ten).{0,180}(d[üu]rfen\s+nicht|geh[öo]ren\s+nicht|nicht\s+in\s+(die\s+)?biotonne|darf\s+nicht\s+rein|kein\s+plastik|verboten|nicht\s+ausreichend)","plastiktüten und auch sogenannte ""kompostierbare biobeutel"" dürfen nicht in die biotonne"
[4],Germany - Hamburg - Stadtreinigung Hamburg / Wirfuerbio guidance,Food-waste liners / collection bags,Rejected,Source-level evidence rejects compostable packaging/items or identifies no accepted organics route.,\b(sac[s]?\s+(compostable|biod[ée]gradable)|sacco\s+compostabile|sacchetti\s+compostabil\w*|bolsa\s+compostable|bolsas\s+compostables|sacos?\s+compost[áa]veis|kompostierbare?\w*\s+(beutel|t[üu]ten|biobeutel)|composteerbare?\w*\s+(zak|zakken|zakjes)|biozak\w*|bioposer|matavfallsp[åa]sar|bioavfallsp[åa]sar|bioj[äa]tepussi|vre[čc]ke|worki|s[áa][čc]ky)\b,kompostierbare beutel,"eil „Erdöl“ enthalten, der aber grundsätzlich biologisch abbaubar sein muss. Innerhalb des Produktionsprozesses unserer Anlagen werden auch kompostierbare Beutel nicht sicher vollständig biologisch abgebaut. Die Zersetzungszeit dieser Tüten liegt deutlich über den Produktionszeiten. Wir wollen sauber",Rejected,"(plastik|kunststoff|bioplastik|biokunststoff|kompostierbare?\w*\s+(biobeutel|beutel|t[üu]ten)|verpackungen|folien|t[üu]ten).{0,180}(d[üu]rfen\s+nicht|geh[öo]ren\s+nicht|nicht\s+in\s+(die\s+)?biotonne|darf\s+nicht\s+rein|kein\s+plastik|verboten|nicht\s+ausreichend)",plastik im biomüll. *auch kompostierbare plastiktüten dürfen nicht in die biotonne. kein plastik
[5],Germany - Kitzingen district - Landratsamt Kitzingen / regional government guidance,Generic compostable packaging / plastics,Rejected,Source-level evidence rejects compostable packaging/items or identifies no accepted organics route.,"\b(compostable|biodegradable|industrially\s+compostable|certified\s+compostable|bioplastic|bio[- ]?plastic|bioplastics|composteerbaar\w*|kompostierbar\w*|compostabil\w*|biod[ée]gradable\w*|biohajoava|kompostoituva|biolagunev\w*|kompostitav\w*|biolo[šs]ko\s+razgradljiv\w*|kompostowaln\w*|biodegradowaln\w*)\b.{0,140}\b(packaging|plastic|plastics|product|products|material|materials|item|items|verpackungen|kunststoff|emballage|embalagem|imballagg|envase|verpakking|pakend|pakkauks|opakowania|embala[žz]a|obaly|muovi|pakkauks|label|sticker)\w*",kompostierbare biomüllbeutel grünabfälle papierabfälle verpackungen übersicht duale systeme glasverpackungen kunststoff,le Problemabfallsammlung Ident-System Abfallgebühr Übersicht Grundlagen Leistungen Gebührenspiegel Abfälle Übersicht Restabfälle Bioabfälle Kompostierbare Biomüllbeutel Grünabfälle Papierabfälle Verpackungen Übersicht Duale Systeme Glasverpackungen Kunststoff- und Metal ---WINDOW--- Landratsamt Kitzingen Tourismus Stadt Kitzingen News Tonnen & Abfuhr Übersicht Mülltonnen Übersicht Restabfalltonne,Rejected,"(plastik|kunststoff|bioplastik|biokunststoff|kompostierbare?\w*\s+(biobeutel|beutel|t[üu]ten)|verpackungen|folien|t[üu]ten).{0,180}(d[üu]rfen\s+nicht|geh[öo]ren\s+nicht|nicht\s+in\s+(die\s+)?biotonne|darf\s+nicht\s+rein|kein\s+plastik|verboten|nicht\s+ausreichend)",kunststoffe und verpackungen für pflanzenschutzmittel abfall-abc sammelbeutel aus biologisch abbaubaren kunststoffen verwendung in der biotonne verboten
[7],Germany - Bamberg - Stadt Bamberg / Biomüll municipal sorting rule,Generic compostable packaging / plastics,Rejected,Source-level evidence rejects compostable packaging/items or identifies no accepted organics route.,"\b(compostable|biodegradable|industrially\s+compostable|certified\s+compostable|bioplastic|bio[- ]?plastic|bioplastics|composteerbaar\w*|kompostierbar\w*|compostabil\w*|biod[ée]gradable\w*|biohajoava|kompostoituva|biolagunev\w*|kompostitav\w*|biolo[šs]ko\s+razgradljiv\w*|kompostowaln\w*|biodegradowaln\w*)\b.{0,140}\b(packaging|plastic|plastics|product|products|material|materials|item|items|verpackungen|kunststoff|emballage|embalagem|imballagg|envase|verpakking|pakend|pakkauks|opakowania|embala[žz]a|obaly|muovi|pakkauks|label|sticker)\w*",kompostierbare und andere plastiktüten alle arten von plastik-verpackungen,"nsreste Kaffee- und Teefilter Kleintierstreu aus Heu u. Stroh Was darf nicht in die Biotonne? Katzenstreu Problemmüll Holz- und Kohlenasche kompostierbare und andere Plastiktüten alle Arten von Plastik-Verpackungen ---WINDOW--- Untermenü Vorlesen Vorlesen ""Vorlesen"" ist eine Funktion von Drittanbietern. Mehr dazu in unserer Datenschutzerklärung. Aktivi",Rejected,"(ikke|inte|må\s+ikke|skal\s+ikke|ei|ei\s+saa|ei\s+kuulu).{0,180}(komposterbar\w*|bioposer|bioplast|plast|biohajoava\w*|kompostoituva\w*|muovipakkauk\w*|kertak[äa]ytt[öo]astia)",eintierstreu aus heu u. stroh was darf nicht in die biotonne? katzenstreu problemmüll holz- und kohlenasche kompostierbare und andere plastiktüten alle arten von plast
[9],Netherlands - National - Milieu Centraal / government-backed sorting guidance,Tea/coffee preparation items,Rejected,Source-level evidence rejects compostable packaging/items or identifies no accepted organics route.,\b(tea\s*bag|teabag|coffee\s*filter|coffee\s*(pod|capsule)|k[- ]?cup|espresso\s*capsule|teebeutel|kaffeefilter|theezakjes?|koffiefilters?|sachet[s]?\s+de\s+th[ée]|filtre[s]?\s+.*caf[ée]|capsule[s]?\s+de\s+caf[ée])s?\b,theezakje,"tic en batterijen kunnen voor een groot deel hergebruikt worden. Dat bespaart nieuwe grondstoffen,... Lees meer Afvalquiz: welk afval waar? Theezakje, pizzadoos of piepschuim… weet jij wat er in welke bak hoort? Doe de afvalquiz en ontdek hoe goed jij bent in afval scheiden. Lees meer",Rejected,"(ikke|inte|må\s+ikke|skal\s+ikke|ei|ei\s+saa|ei\s+kuulu).{0,180}(komposterbar\w*|bioposer|bioplast|plast|biohajoava\w*|kompostoituva\w*|muovipakkauk\w*|kertak[äa]ytt[öo]astia)","ein snoeiafval. maar niet: kattenbakvulling, bioplast"
[10],Netherlands - HVC service area - HVC / waste-management company guidance,Food-waste liners / collection bags,Accepted,Food-waste liners/collection bags are accepted in the ordinary organics route; certification or compostability wording is treated as product qualification.,"(?:uitzondering|speciaal\s+gft[- ]?zakje|gft[- ]?zakje|gfe\+?t[- ]?zakje|biozakje|composteerbaar\w*\s+zakje).{0,160}\b(?:mag\s+w[eé]l|mag|toegestaan|gebruiken|gebruik|in\s+(?:de\s+)?gft|in\s+(?:de\s+)?groene\s+container)\b",uitzondering: speciaal gft-zakje er is één handige uitzondering… misschien gebruik,"verpakkingen bij gft en etensresten, ook niet als ze zijn gemaakt van (composteerbare) bioplastics. Deze laatsten horen bij het restafval. Uitzondering: speciaal gft-zakje Er is één handige uitzondering… Misschien gebruik je in de keuken een biologisch afbreekbaar gft-zakje met Kiemplantlogo of OK Compostlogo om jouw etensresten mee in te zamelen? Zo'n zakje",Collection liners only,"(?:uitzondering|speciaal\s+gft[- ]?zakje|gft[- ]?zakje|gfe\+?t[- ]?zakje|biozakje|composteerbaar\w*\s+zakje).{0,160}\b(?:mag\s+w[eé]l|mag|toegestaan|gebruiken|gebruik|in\s+(?:de\s+)?gft|in\s+(?:de\s+)?groene\s+container)\b",uitzondering: speciaal gft-zakje er is één handige uitzondering… misschien gebruik
[10],Netherlands - HVC service area - HVC / waste-management company guidance,Flexible films/wraps/pouches,Rejected,Source-level rule is liner-only; this broader application category is outside the accepted application scope.,"\b(mailer|postal\s*bag|e[- ]?commerce\s*packaging|garment\s*bag|poly\s*bag|protective\s*film|stretch\s*film|shrink\s*film|wrapper|wrap|pouch|pouches|wikkels|films?|folien|buste)\w*\b.{0,160}\b(compostable|biodegradable|bioplastic|compostabil|biodegradabil|organic waste|compost|brown\s+bin|green\s+cart)","wikkels van tijdschriften: ze zijn steeds vaker van bioplastic. bioplastic wordt gemaakt van mais, suikerriet of aardappels. enkele hebben het label compost","de achterkant ook niet uit te halen. Een instinker: composteerbare bioplastic Wegwerpbestek en -borden, verpakkingen om groente of fruit en wikkels van tijdschriften: ze zijn steeds vaker van bioplastic. Bioplastic wordt gemaakt van mais, suikerriet of aardappels. Enkele hebben het label composteerbaar, maar in de praktijk duurt het composteren van deze artikelen langer dan het proces in de composteerinstallaties: het blijft er dus",Collection liners only,"(?:uitzondering|speciaal\s+gft[- ]?zakje|gft[- ]?zakje|gfe\+?t[- ]?zakje|biozakje|composteerbaar\w*\s+zakje).{0,160}\b(?:mag\s+w[eé]l|mag|toegestaan|gebruiken|gebruik|in\s+(?:de\s+)?gft|in\s+(?:de\s+)?groene\s+container)\b",uitzondering: speciaal gft-zakje er is één handige uitzondering… misschien gebruik
[10],Netherlands - HVC service area - HVC / waste-management company guidance,Generic compostable packaging / plastics,Rejected,Source-level rule is liner-only; this broader application category is outside the accepted application scope.,"\b(compostable|biodegradable|industrially\s+compostable|certified\s+compostable|bioplastic|bio[- ]?plastic|bioplastics|composteerbaar\w*|kompostierbar\w*|compostabil\w*|biod[ée]gradable\w*|biohajoava|kompostoituva|biolagunev\w*|kompostitav\w*|biolo[šs]ko\s+razgradljiv\w*|kompostowaln\w*|biodegradowaln\w*)\b.{0,140}\b(packaging|plastic|plastics|product|products|material|materials|item|items|verpackungen|kunststoff|emballage|embalagem|imballagg|envase|verpakking|pakend|pakkauks|opakowania|embala[žz]a|obaly|muovi|pakkauks|label|sticker)\w*","bioplastic wegwerpbestek en -borden, verpakkingen","blijven maken. Want wat er aan de voorkant niet in gaat hoeven we er aan de achterkant ook niet uit te halen. Een instinker: composteerbare bioplastic Wegwerpbestek en -borden, verpakkingen om groente of fruit en wikkels van tijdschriften: ze zijn steeds vaker van bioplastic. Bioplastic wordt gemaakt van mais, suikerriet of aar",Collection liners only,"(?:uitzondering|speciaal\s+gft[- ]?zakje|gft[- ]?zakje|gfe\+?t[- ]?zakje|biozakje|composteerbaar\w*\s+zakje).{0,160}\b(?:mag\s+w[eé]l|mag|toegestaan|gebruiken|gebruik|in\s+(?:de\s+)?gft|in\s+(?:de\s+)?groene\s+container)\b",uitzondering: speciaal gft-zakje er is één handige uitzondering… misschien gebruik
[11],Netherlands - Roosendaal / Saver service area - Saver NV / waste-company guidance,Food-waste liners / collection bags,Accepted,Food-waste liners/collection bags are accepted in the ordinary organics route; certification or compostability wording is treated as product qualification.,\b(sac[s]?\s+(compostable|biod[ée]gradable)|sacco\s+compostabile|sacchetti\s+compostabil\w*|bolsa\s+compostable|bolsas\s+compostables|sacos?\s+compost[áa]veis|kompostierbare?\w*\s+(beutel|t[üu]ten|biobeutel)|composteerbare?\w*\s+(zak|zakken|zakjes)|biozak\w*|bioposer|matavfallsp[åa]sar|bioavfallsp[åa]sar|bioj[äa]tepussi|vre[čc]ke|worki|s[áa][čc]ky)\b,composteerbare zakjes,Netherlands - Roosendaal / Saver service area - Saver NV / waste-company guidance | Hoe gebruik ik composteerbare zakjes? | Saver | https://saver.nl/nieuws-gebruik-composteerbare-zakjes Hoe gebruik ik composteerbare zakjes? | Saver Naar hoofdinhoud Werken bij,Collection liners only,"(bioj[äa]te|matavfall|food\s*waste|gft|gfe\+?t).{0,180}(compostable|composteerbare?\w*|biologisch\s+afbreekbare?\w*|biohajoava\w*|komposterbar\w*|paper|papieren?)\s+(bag|liner|pussi|zak|zakje|pose)s?","gft+e-afval in de groene container gooit, moeten dit wel composteerbare zak"
