indicator,question_answered,category,n,denominator,share,share_percent,denominator_basis
Source Authority,What kinds of sources support the source corpus?,Municipal sorting rule,88,184,0.4782608695652174,47.82608695652174,All included sources
Source Authority,What kinds of sources support the source corpus?,Waste operator or treatment-facility rule,40,184,0.21739130434782608,21.73913043478261,All included sources
Source Authority,What kinds of sources support the source corpus?,National rule or policy,25,184,0.1358695652173913,13.58695652173913,All included sources
Source Authority,What kinds of sources support the source corpus?,"State, provincial, regional, or canton rule",25,184,0.1358695652173913,13.58695652173913,All included sources
Source Authority,What kinds of sources support the source corpus?,Intermunicipal or regional waste authority,6,184,0.03260869565217391,3.260869565217391,All included sources
Stated Organic-waste Treatment Route,What organic-waste collection or treatment route is stated?,Composting,71,184,0.3858695652173913,38.58695652173913,All included sources
Stated Organic-waste Treatment Route,What organic-waste collection or treatment route is stated?,Treatment route not stated,71,184,0.3858695652173913,38.58695652173913,All included sources
Stated Organic-waste Treatment Route,What organic-waste collection or treatment route is stated?,AD/biogas + composting,26,184,0.14130434782608695,14.130434782608695,All included sources
Stated Organic-waste Treatment Route,What organic-waste collection or treatment route is stated?,AD/biogas only,13,184,0.07065217391304347,7.065217391304348,All included sources
Stated Organic-waste Treatment Route,What organic-waste collection or treatment route is stated?,Other organic recovery,3,184,0.016304347826086956,1.6304347826086956,All included sources
Acceptance,How are compostable packaging applications treated in organic-waste systems?,Rejected,83,184,0.45108695652173914,45.108695652173914,All included sources
Acceptance,How are compostable packaging applications treated in organic-waste systems?,Collection liners only,70,184,0.3804347826086957,38.04347826086956,All included sources
Acceptance,How are compostable packaging applications treated in organic-waste systems?,No explicit compostable-packaging rule,11,184,0.059782608695652176,5.978260869565218,All included sources
Acceptance,How are compostable packaging applications treated in organic-waste systems?,Accepted broadly,10,184,0.05434782608695652,5.434782608695652,All included sources
Acceptance,How are compostable packaging applications treated in organic-waste systems?,No clear organics route,8,184,0.043478260869565216,4.3478260869565215,All included sources
Acceptance,How are compostable packaging applications treated in organic-waste systems?,Dedicated/controlled route only,2,184,0.010869565217391304,1.0869565217391304,All included sources
Certification and Approval Basis,"What standard, label, programme, or approval basis is mentioned?",Generic compostable/biodegradable wording only,66,184,0.358695652173913,35.869565217391305,All included sources
Certification and Approval Basis,"What standard, label, programme, or approval basis is mentioned?",No named standard/approval stated,43,184,0.23369565217391305,23.369565217391305,All included sources
Certification and Approval Basis,"What standard, label, programme, or approval basis is mentioned?",EN 13432 / OK compost / Seedling,37,184,0.20108695652173914,20.108695652173914,All included sources
Certification and Approval Basis,"What standard, label, programme, or approval basis is mentioned?",Government/programme approval,18,184,0.09782608695652174,9.782608695652174,All included sources
Certification and Approval Basis,"What standard, label, programme, or approval basis is mentioned?",BPI / ASTM / CMA,10,184,0.05434782608695652,5.434782608695652,All included sources
Certification and Approval Basis,"What standard, label, programme, or approval basis is mentioned?",OK compost HOME / NF T 51-800 / AS 5810,7,184,0.03804347826086957,3.8043478260869565,All included sources
Certification and Approval Basis,"What standard, label, programme, or approval basis is mentioned?",Country-specific standards/certifications (BNQ / AS 4736 / DINplus),3,184,0.016304347826086956,1.6304347826086956,All included sources
Rejection Rationale,"Among references with a specified rejection/restriction rationale, what reasons are stated?",Compost/digestate quality or contamination concern,46,97,0.4742268041237113,47.422680412371136,Sources with specified rejection/restriction rationale; excludes not-applicable and reason-not-explicitly-stated cases
Rejection Rationale,"Among references with a specified rejection/restriction rationale, what reasons are stated?",No compatible organic-treatment route,16,97,0.16494845360824742,16.49484536082474,Sources with specified rejection/restriction rationale; excludes not-applicable and reason-not-explicitly-stated cases
Rejection Rationale,"Among references with a specified rejection/restriction rationale, what reasons are stated?",Slow degradation / residence-time mismatch,11,97,0.1134020618556701,11.34020618556701,Sources with specified rejection/restriction rationale; excludes not-applicable and reason-not-explicitly-stated cases
Rejection Rationale,"Among references with a specified rejection/restriction rationale, what reasons are stated?",AD/biogas incompatibility,9,97,0.09278350515463918,9.278350515463918,Sources with specified rejection/restriction rationale; excludes not-applicable and reason-not-explicitly-stated cases
Rejection Rationale,"Among references with a specified rejection/restriction rationale, what reasons are stated?",Explicit no-packaging / positive-list restriction,8,97,0.08247422680412371,8.24742268041237,Sources with specified rejection/restriction rationale; excludes not-applicable and reason-not-explicitly-stated cases
Rejection Rationale,"Among references with a specified rejection/restriction rationale, what reasons are stated?",Pre-treatment/screening/equipment constraint,7,97,0.07216494845360824,7.216494845360825,Sources with specified rejection/restriction rationale; excludes not-applicable and reason-not-explicitly-stated cases
