citation_id,source_label,indicator,assigned_category,matched_regex_or_rule,matched_text,evidence_excerpt,coding_basis
[1],Germany - National / local practice varies - BioAbfV + surveyed municipal practice,Source Authority,National rule or policy,,,Germany - National / local practice varies - BioAbfV + surveyed municipal practice | Verordnung über die Verwertung von Bioabfällen auf Böden | https://www.gesetze-im-internet.de/bioabfv/BJNR295500998.html,source_label_priority
[1],Germany - National / local practice varies - BioAbfV + surveyed municipal practice,Stated Organic-waste Treatment Route,Composting,\b(composting|compost\s+facility|industrial\s+compost|in[- ]?vessel\s+compost|IVC|compostage|compostaggio|compostaje|compostagem|kompostierung|kompostering|kompostointi|kompostiranje|composteerinstallatie|composteerbaar|kompostownia|κομποστοποίηση|κομπόστ|堆肥化|堆肥|퇴비화|퇴비|kompostitav\w*)\b,kompostierung,"andlung zugegeben werden: a) Küchenkrepp und Altpapier (Zeitungspapier) darf in kleinen Mengen zusammen mit den gesammelten Bioabfällen der Kompostierung zugegeben werden, wenn dies aus hygienischen oder praktischen Gründen bei der Sammlung der Bioabfälle zweckmäßig ist (z. B. bei sehr feucht",regex_include_exclude
[1],Germany - National / local practice varies - BioAbfV + surveyed municipal practice,Acceptance,Rejected,"(ikke|inte|må\s+ikke|skal\s+ikke|ei|ei\s+saa|ei\s+kuulu).{0,180}(komposterbar\w*|bioposer|bioplast|plast|biohajoava\w*|kompostoituva\w*|muovipakkauk\w*|kertak[äa]ytt[öo]astia)","eil an fremdstoffen mit einem siebdurchgang von mehr als 1 millimeter darf folgende höchstwerte, bezogen auf die trockenmasse des aufzubringenden materials, nicht überschreiten: 1. plast","1 mit Ausnahme von Cadmium und Quecksilber zulassen, wenn Beeinträchtigungen des Wohls der Allgemeinheit nicht zu erwarten sind. (4) Der Anteil an Fremdstoffen mit einem Siebdurchgang von mehr als 1 Millimeter darf folgende Höchstwerte, bezogen auf die Trockenmasse des aufzubringenden Materials, nicht überschreiten: 1. plastisch verformbare Kunststoffe 0,1 vom Hundert und 2. sonstige Fremdstoffe, insbesondere Glas, Metalle und plastisch nicht verformbare Kunstst",regex_include_exclude
[1],Germany - National / local practice varies - BioAbfV + surveyed municipal practice,Certification and Approval Basis,EN 13432 / OK compost / Seedling,\b(en|din\s*en|uni\s*en|bs\s*en|nf\s*en)?\s*13432\b,din en 13432,"ürlichen, nicht-fossilen Wachsen bestehen. Eine Beschichtung mit biologisch abbaubaren Kunststoffen darf nur aus solchen bestehen, die nach DIN EN 13432 (Ausgabe 2000-12) und DIN EN 13432 Berichtigung 2 (Ausgabe 2007-10) oder nach DIN EN 14995 (Ausgabe 2007-03) zertifiziert sind. Darüber hin",regex_include_exclude
[1],Germany - National / local practice varies - BioAbfV + surveyed municipal practice,Rejection Rationale,Compost/digestate quality or contamination concern,\b(compost\s+quality|digestate\s+quality|microplastic|microplastics|contamination|contaminant|foreign\s+matter|residue|pollutant|clean\s+compost|soil|agricultural\s+use|quality\s+standard|fertiliser|fertilizer|impurity|physical\s+contamination|quality\s+control|nutrient|nutritional\s+value|soil\s+amendment)\b,nutrient,Nährboden mit der Nachweismöglichkeit anderer biochemischer Eigenschaften als XLD-Agar angelegt. Salmonellenverdächtige Kolonien werden auf Nutrient-Agar überimpft und bei 36 ( ± 2) °C für 22 ( ± 2) Stunden inkubiert. Die Identifizierung erfolgt biochemisch oder serologisch auf Grund der,regex_include_exclude
[2],Germany - Berlin - BSR / Berliner Stadtreinigung waste-company guidance,Source Authority,Waste operator or treatment-facility rule,,,Germany - Berlin - BSR / Berliner Stadtreinigung waste-company guidance | Biogut: Abfall mit Mehrfach-Nutzen | https://www.bsr.de/biogut,source_label_priority
[2],Germany - Berlin - BSR / Berliner Stadtreinigung waste-company guidance,Stated Organic-waste Treatment Route,AD/biogas + composting,"\b(anaerobic\s+digestion|\bAD\b|biogas|biomethane|methani[sz]ation|m[ée]thanisation|biom[ée]thanisation|verg[äa]rung|vergisting|r[öo]tning|digestate|biog[öo]dsel|biog[øo]dning)\b.{0,180}\b(compost|composting|kompost|compostaggio|compostaje|compostagem|kompostering|kompostointi|kompostiranje|κομποστοποίηση|堆肥|퇴비)",biogas und kompost,t Biogut: Abfall mit Mehrfach-Nutzen Für organische Abfälle gibt es in Berlin die Biotonne. Den Inhalt verarbeiten wir zu klimafreundlichem Biogas und Kompost. Hier erfährst du was wirklich in die Biotonne gehört und wie du als Eigentümer:in die Biotonne beantragst. gesammelter Bioabfall © BSR War,regex_include_exclude
[2],Germany - Berlin - BSR / Berliner Stadtreinigung waste-company guidance,Acceptance,Rejected,"(plastik|kunststoff|bioplastik|biokunststoff|kompostierbare?\w*\s+(biobeutel|beutel|t[üu]ten)|verpackungen|folien|t[üu]ten).{0,180}(d[üu]rfen\s+nicht|geh[öo]ren\s+nicht|nicht\s+in\s+(die\s+)?biotonne|darf\s+nicht\s+rein|kein\s+plastik|verboten|nicht\s+ausreichend)",plastik und auch bioplastik dürfen nicht in die biotonne,"r Komponenten von YouTube Video integriert. Bitte überprüfe die Details und akzeptiere den Service, um die Inhalte anzusehen. Inhalte laden Plastik und auch Bioplastik dürfen nicht in die Biotonne. Plastik kann als Mikroplastik im Kompost und somit auf den Feldern landen. Das verschmutzt unsere Natur. Wirf den Biomüll stattdessen in d",regex_include_exclude
[2],Germany - Berlin - BSR / Berliner Stadtreinigung waste-company guidance,Certification and Approval Basis,No named standard/approval stated,,,,fallback_default
[2],Germany - Berlin - BSR / Berliner Stadtreinigung waste-company guidance,Rejection Rationale,Compost/digestate quality or contamination concern,(mikroplastik|fremdstoff|st[öo]rstoff|vervuiling|verontreiniging|schone\s+compost|kwaliteit|schadelijke\s+stoffen|compostkwaliteit|bodem|meststof|fertilisant|engrais|qualit[ée]|inquinant|퇴비|비료|품질),mikroplastik,"akzeptiere den Service, um die Inhalte anzusehen. Inhalte laden Plastik und auch Bioplastik dürfen nicht in die Biotonne. Plastik kann als Mikroplastik im Kompost und somit auf den Feldern landen. Das verschmutzt unsere Natur. Wirf den Biomüll stattdessen in deine Biotonne oder verwende Pap",regex_include_exclude
