citation_id,country_or_region,source_label,source_title,application_type,application_decision,Certification and Approval Basis,Source Authority,Stated Organic-waste Treatment Route,Acceptance,Rejection Rationale,certification_sufficiency_status,certification_sufficiency_score,certification_sufficiency_basis,certification_basis_type,certification_relevant_record,has_named_certification_or_approval,decision_basis,source_url
[10],Netherlands,Netherlands - HVC service area - HVC / waste-management company guidance,Schoon gft-afval = schoon compost,Food-waste liners / collection bags,Accepted,EN 13432 / OK compost / Seedling,Waste operator or treatment-facility rule,Composting,Collection liners only,Slow degradation / residence-time mismatch,Certification accepted,0,"The source mentions a certification, standard, or official approval basis, and this application group is accepted in the ordinary organic-waste route.",certification_relevant,Yes,Yes,Food-waste liners/collection bags are accepted in the ordinary organics route; certification or compostability wording is treated as product qualification.,https://www.hvcgroep.nl/ons-verhaal/nieuws/gft-en-etensresten-hou-het-schoon
[10],Netherlands,Netherlands - HVC service area - HVC / waste-management company guidance,Schoon gft-afval = schoon compost,Flexible films/wraps/pouches,Rejected,EN 13432 / OK compost / Seedling,Waste operator or treatment-facility rule,Composting,Collection liners only,Slow degradation / residence-time mismatch,Certification rejected,2,"The source mentions a certification, standard, or official approval basis, but this application-group record is rejected from the organic-waste route.",certification_relevant,Yes,Yes,Source-level rule is liner-only; this broader application category is outside the accepted application scope.,https://www.hvcgroep.nl/ons-verhaal/nieuws/gft-en-etensresten-hou-het-schoon
[10],Netherlands,Netherlands - HVC service area - HVC / waste-management company guidance,Schoon gft-afval = schoon compost,Generic compostable packaging / plastics,Rejected,EN 13432 / OK compost / Seedling,Waste operator or treatment-facility rule,Composting,Collection liners only,Slow degradation / residence-time mismatch,Certification rejected,2,"The source mentions a certification, standard, or official approval basis, but this application-group record is rejected from the organic-waste route.",certification_relevant,Yes,Yes,Source-level rule is liner-only; this broader application category is outside the accepted application scope.,https://www.hvcgroep.nl/ons-verhaal/nieuws/gft-en-etensresten-hou-het-schoon
[12],Netherlands,Netherlands - National - VANG-HHA / Rijkswaterstaat-linked guidance / national government guidance,--- Page 1 ---,Tea/coffee preparation items,Rejected,EN 13432 / OK compost / Seedling,National rule or policy,AD + composting,Rejected,Compost/digestate quality or contamination concern,Certification rejected,2,"The source mentions a certification, standard, or official approval basis, but this application-group record is rejected from the organic-waste route.",certification_relevant,Yes,Yes,Source-level evidence rejects compostable packaging/items or identifies no accepted organics route.,https://vang-hha.nl/publish/pages/195563/qena-wat-mag-wel-en-niet-in-de-afvalbak-120324.pdf
[12],Netherlands,Netherlands - National - VANG-HHA / Rijkswaterstaat-linked guidance / national government guidance,--- Page 1 ---,Generic compostable packaging / plastics,Rejected,EN 13432 / OK compost / Seedling,National rule or policy,AD + composting,Rejected,Compost/digestate quality or contamination concern,Certification rejected,2,"The source mentions a certification, standard, or official approval basis, but this application-group record is rejected from the organic-waste route.",certification_relevant,Yes,Yes,Source-level evidence rejects compostable packaging/items or identifies no accepted organics route.,https://vang-hha.nl/publish/pages/195563/qena-wat-mag-wel-en-niet-in-de-afvalbak-120324.pdf
[13],Netherlands,Netherlands - Maashorst - Gemeente Maashorst / municipal sorting rule,Voorlezen,Food-waste liners / collection bags,Rejected,EN 13432 / OK compost / Seedling,Municipal sorting rule,Composting,Rejected,Slow degradation / residence-time mismatch,Certification rejected,2,"The source mentions a certification, standard, or official approval basis, but this application-group record is rejected from the organic-waste route.",certification_relevant,Yes,Yes,Source-level evidence rejects compostable packaging/items or identifies no accepted organics route.,https://www.gemeentemaashorst.nl/inwoners/afval/tips/wat-mag-niet-in-de-gfte-container/
[13],Netherlands,Netherlands - Maashorst - Gemeente Maashorst / municipal sorting rule,Voorlezen,Food-service ware / takeaway packaging,Rejected,EN 13432 / OK compost / Seedling,Municipal sorting rule,Composting,Rejected,Slow degradation / residence-time mismatch,Certification rejected,2,"The source mentions a certification, standard, or official approval basis, but this application-group record is rejected from the organic-waste route.",certification_relevant,Yes,Yes,Source-level evidence rejects compostable packaging/items or identifies no accepted organics route.,https://www.gemeentemaashorst.nl/inwoners/afval/tips/wat-mag-niet-in-de-gfte-container/
[13],Netherlands,Netherlands - Maashorst - Gemeente Maashorst / municipal sorting rule,Voorlezen,Tea/coffee preparation items,Rejected,EN 13432 / OK compost / Seedling,Municipal sorting rule,Composting,Rejected,Slow degradation / residence-time mismatch,Certification rejected,2,"The source mentions a certification, standard, or official approval basis, but this application-group record is rejected from the organic-waste route.",certification_relevant,Yes,Yes,Source-level evidence rejects compostable packaging/items or identifies no accepted organics route.,https://www.gemeentemaashorst.nl/inwoners/afval/tips/wat-mag-niet-in-de-gfte-container/
[13],Netherlands,Netherlands - Maashorst - Gemeente Maashorst / municipal sorting rule,Voorlezen,Generic compostable packaging / plastics,Rejected,EN 13432 / OK compost / Seedling,Municipal sorting rule,Composting,Rejected,Slow degradation / residence-time mismatch,Certification rejected,2,"The source mentions a certification, standard, or official approval basis, but this application-group record is rejected from the organic-waste route.",certification_relevant,Yes,Yes,Source-level evidence rejects compostable packaging/items or identifies no accepted organics route.,https://www.gemeentemaashorst.nl/inwoners/afval/tips/wat-mag-niet-in-de-gfte-container/
[14],Netherlands,Netherlands - Hoeksche Waard / BAR area - RAD / waste-company guidance,Gft,Food-waste liners / collection bags,Rejected,EN 13432 / OK compost / Seedling,Waste operator or treatment-facility rule,AD + composting,Rejected,Compost/digestate quality or contamination concern,Certification rejected,2,"The source mentions a certification, standard, or official approval basis, but this application-group record is rejected from the organic-waste route.",certification_relevant,Yes,Yes,Source-level evidence rejects compostable packaging/items or identifies no accepted organics route.,https://www.radbv.nl/gft/
