section,indicator,question_answered,category,definition,included_examples,excluded_examples,include_regex_examples,exclude_regex_examples,regex_or_rule_examples,coding_basis,priority_or_mapping_note
Evidence-base descriptor,Source Authority,What level/type of source provides the evidence?,Supranational framework,"Supranational law, policy, or guidance relevant across multiple countries.","European Commission, EU framework, EUR-Lex, OECD, UN.",National ministries implementing EU law; municipal or operator pages citing EU rules.,\b(european union|european commission|eu policy|eur-lex|oecd|united nations|unep|international)\b,No category-specific exclude regex.,INCLUDE: \b(european union|european commission|eu policy|eur-lex|oecd|united nations|unep|international)\b ; EXCLUDE: No category-specific exclude regex.,metadata_regex + fallback_from_source_label,Priority 1; exclusions are evaluated before inclusion for this category.
Evidence-base descriptor,Source Authority,What level/type of source provides the evidence?,National rule or policy,"National-level law, policy, ministry guidance, or government-backed national sorting guidance.","national government, federal ordinance, ministry, national environment agency, national law, national public guidance.","State/provincial rules, city council pages, facility operator guidance.",\b(national|federal|ministry|ministerio|ministere|minist[eè]re|government|agency|department|epa|environment agency|parliament|law|act|regulation|ordinance|decree|bioabfv|ley\s+7/2022|boe|legifrance|gazette|wrap|recycle\s*now|vang-hha|rijkswaterstaat|mohu)\b | \b(national\s+government|central\s+government|official\s+national|country[- ]?wide)\b,No category-specific exclude regex.,INCLUDE: \b(national|federal|ministry|ministerio|ministere|minist[eè]re|government|agency|department|epa|environment agency|parliament|law|act|regulation|ordinance|decree|bioabfv|ley\s+7/2022|boe|legifrance|gazette|wrap|recycle\s*now|vang-hha|rijkswaterstaat|mohu)\b | \b(national\s+government|central\s+government|official\s+national|country[- ]?wide)\b ; EXCLUDE: No category-specific exclude regex.,metadata_regex + fallback_from_source_label,Priority 2; exclusions are evaluated before inclusion for this category.
Evidence-base descriptor,Source Authority,What level/type of source provides the evidence?,"State, provincial, regional, or canton rule","Subnational rule or guidance issued at state, province, region, canton, county, district, or prefecture level.","state agency, province, canton, county/district authority, autonomous region, prefecture.",Intermunicipal waste authorities or specific municipal sorting pages.,"\b(state|province|provincial|regional|region|canton|county|prefecture|autonomous|landkreis|d[ée]partement|departement|flanders|wallonia|catalonia|california|ontario|quebec|québec|nova\s+scotia|alberta|busan\s+metropolitan|kumamoto\s+prefecture|kanagawa\s+prefecture)\b | \b(region|regional|county|prefecture)\b.{0,80}\b(council|authority|government|guidance|rule|waste)\b",No category-specific exclude regex.,"INCLUDE: \b(state|province|provincial|regional|region|canton|county|prefecture|autonomous|landkreis|d[ée]partement|departement|flanders|wallonia|catalonia|california|ontario|quebec|québec|nova\s+scotia|alberta|busan\s+metropolitan|kumamoto\s+prefecture|kanagawa\s+prefecture)\b | \b(region|regional|county|prefecture)\b.{0,80}\b(council|authority|government|guidance|rule|waste)\b ; EXCLUDE: No category-specific exclude regex.",metadata_regex + fallback_from_source_label,Priority 3; exclusions are evaluated before inclusion for this category.
Evidence-base descriptor,Source Authority,What level/type of source provides the evidence?,Intermunicipal or regional waste authority,Authority or partnership operating across several municipalities or a metropolitan service area.,"metropolitan waste authority, regional waste partnership, intermunicipal authority, multi-municipality utility.",Single city council; single private waste company/facility operator.,\b(intermunicipal|metropolitan|regional waste|solid waste authority|waste authority|joint waste|m[eé]tropole|r[ée]gie|lipor|hsy|rrfb|metropole|metropolitana|syndicat|tratolixo|hvc\s+service|rad\s*/|rd4|saver\s+service|greater\s+manchester)\b,No category-specific exclude regex.,INCLUDE: \b(intermunicipal|metropolitan|regional waste|solid waste authority|waste authority|joint waste|m[eé]tropole|r[ée]gie|lipor|hsy|rrfb|metropole|metropolitana|syndicat|tratolixo|hvc\s+service|rad\s*/|rd4|saver\s+service|greater\s+manchester)\b ; EXCLUDE: No category-specific exclude regex.,metadata_regex + fallback_from_source_label,Priority 4; exclusions are evaluated before inclusion for this category.
Evidence-base descriptor,Source Authority,What level/type of source provides the evidence?,Waste operator or treatment-facility rule,"Waste operator, collector, processor, composting facility, AD/biogas plant, public utility, or EPR/operator guidance.","Recology, Stadtreinigung, composting facility, biogas operator, waste-company guidance, municipal utility operator.",Municipal council webpages unless the source is explicitly the operator or utility.,\b(facility|plant|operator|hauler|collector|processor|composter|composting facility|anaerobic|biogas|waste[- ]company|waste company|public utility|recology|wm\b|awm\b|awb\b|bsr\b|stadtreinigung|milieu|hvc|rd4|gesenu|contarina|salerno pulita|mohu|tratolixo|mustankorkea|biorepack|suez|veolia|envar|mywaste|pražské\s+služby|mpo\b|olo\s+a\.s\.|jp\s+voka\s+snaga|vasa\b|getliņi|getlini|voka\s+snaga|intradel|hygea|komunala\s+kranj|minett\s+kompost|calgary|halifax|reykjav[ií]k)\b,No category-specific exclude regex.,INCLUDE: \b(facility|plant|operator|hauler|collector|processor|composter|composting facility|anaerobic|biogas|waste[- ]company|waste company|public utility|recology|wm\b|awm\b|awb\b|bsr\b|stadtreinigung|milieu|hvc|rd4|gesenu|contarina|salerno pulita|mohu|tratolixo|mustankorkea|biorepack|suez|veolia|envar|mywaste|pražské\s+služby|mpo\b|olo\s+a\.s\.|jp\s+voka\s+snaga|vasa\b|getliņi|getlini|voka\s+snaga|intradel|hygea|komunala\s+kranj|minett\s+kompost|calgary|halifax|reykjav[ií]k)\b ; EXCLUDE: No category-specific exclude regex.,metadata_regex + fallback_from_source_label,Priority 5; exclusions are evaluated before inclusion for this category.
Evidence-base descriptor,Source Authority,What level/type of source provides the evidence?,Municipal sorting rule,Municipal/city-level sorting rule or local government guidance.,"city council, municipality, borough, district, gemeente, comune, ayuntamiento, municipal utility page.",Regional/state/national frameworks; facility-only rules.,\b(city|municipal|municipality|commune|gemeente|gemeinde|borough|district|council|town|ville|stadt|ayuntamiento|comune|cidade|municipio|município|municipalidad|ciudad|miasto|urząd|alcald[ií]a|oslo|berlin|munich|hamburg|cologne|amsterdam|vienna|milan|barcelona|vigo|toronto|seattle|austin|san francisco|tokyo|seoul|prague|alimos|riga|krak[oó]w|toru[nń]|warsaw|bratislava|vilnius|ljubljana|maribor|christchurch|auckland|vitacura|las\s+palmas|brno|copenhagen|reykjav[ií]k|portland|new\s+york\s+city|minamata|zushi|providencia|santa\s+juana|wrocław|wroclaw)\b,No category-specific exclude regex.,INCLUDE: \b(city|municipal|municipality|commune|gemeente|gemeinde|borough|district|council|town|ville|stadt|ayuntamiento|comune|cidade|municipio|município|municipalidad|ciudad|miasto|urząd|alcald[ií]a|oslo|berlin|munich|hamburg|cologne|amsterdam|vienna|milan|barcelona|vigo|toronto|seattle|austin|san francisco|tokyo|seoul|prague|alimos|riga|krak[oó]w|toru[nń]|warsaw|bratislava|vilnius|ljubljana|maribor|christchurch|auckland|vitacura|las\s+palmas|brno|copenhagen|reykjav[ií]k|portland|new\s+york\s+city|minamata|zushi|providencia|santa\s+juana|wrocław|wroclaw)\b ; EXCLUDE: No category-specific exclude regex.,metadata_regex + fallback_from_source_label,Priority 6; exclusions are evaluated before inclusion for this category.
Source-level indicator,Stated Organic-waste Treatment Route,What organic-waste treatment route is stated?,AD/biogas + composting,The source states or strongly implies AD/biogas combined with or followed by composting.,AD followed by composting; biogas plus compost; digestion and composting both stated,sources mentioning only one treatment route,"\b(anaerobic\s+digestion|\bAD\b|biogas|biomethane|methani[sz]ation|m[ée]thanisation|biom[ée]thanisation|verg[äa]rung|vergisting|r[öo]tning|digestate|biog[öo]dsel|biog[øo]dning)\b.{0,180}\b(compost|composting|kompost|compostaggio|compostaje|compostagem|kompostering|kompostointi|kompostiranje|κομποστοποίηση|堆肥|퇴비) | \b(compost|composting|kompost|compostaggio|compostaje|compostagem|kompostering|kompostointi|kompostiranje|κομποστοποίηση|堆肥|퇴비)\b.{0,180}\b(anaerobic\s+digestion|\bAD\b|biogas|biomethane|methani[sz]ation|m[ée]thanisation|biom[ée]thanisation|verg[äa]rung|vergisting|r[öo]tning|digestate|biog[öo]dsel|biog[øo]dning)\b",No category-specific exclude regex.,"INCLUDE: \b(anaerobic\s+digestion|\bAD\b|biogas|biomethane|methani[sz]ation|m[ée]thanisation|biom[ée]thanisation|verg[äa]rung|vergisting|r[öo]tning|digestate|biog[öo]dsel|biog[øo]dning)\b.{0,180}\b(compost|composting|kompost|compostaggio|compostaje|compostagem|kompostering|kompostointi|kompostiranje|κομποστοποίηση|堆肥|퇴비) | \b(compost|composting|kompost|compostaggio|compostaje|compostagem|kompostering|kompostointi|kompostiranje|κομποστοποίηση|堆肥|퇴비)\b.{0,180}\b(anaerobic\s+digestion|\bAD\b|biogas|biomethane|methani[sz]ation|m[ée]thanisation|biom[ée]thanisation|verg[äa]rung|vergisting|r[öo]tning|digestate|biog[öo]dsel|biog[øo]dning)\b ; EXCLUDE: No category-specific exclude regex.",regex_include_exclude,Priority 1; exclusions are evaluated before inclusion for this category.
Source-level indicator,Stated Organic-waste Treatment Route,What organic-waste treatment route is stated?,AD/biogas only,"The stated organics route is anaerobic digestion, biogas, biomethane production, or digestate management.","anaerobic digestion, AD, biogas, biomethane, methanisation, vergärung",composting-only sources,\b(anaerobic\s+digestion|\bAD\b|biogas|biomethane|methani[sz]ation|m[ée]thanisation|biom[ée]thanisation|verg[äa]rung|vergisting|biokaas|biogaz|biogass|biogasanlegg|r[öo]tning|biog[öo]dsel|biog[øo]dning|digestate|厌氧|厭氧|沼气|沼氣)\b,No category-specific exclude regex.,INCLUDE: \b(anaerobic\s+digestion|\bAD\b|biogas|biomethane|methani[sz]ation|m[ée]thanisation|biom[ée]thanisation|verg[äa]rung|vergisting|biokaas|biogaz|biogass|biogasanlegg|r[öo]tning|biog[öo]dsel|biog[øo]dning|digestate|厌氧|厭氧|沼气|沼氣)\b ; EXCLUDE: No category-specific exclude regex.,regex_include_exclude,Priority 2; exclusions are evaluated before inclusion for this category.
Source-level indicator,Stated Organic-waste Treatment Route,What organic-waste treatment route is stated?,Composting,The stated organics route is composting without a clear AD element.,"composting, industrial composting, in-vessel composting, compost site",AD-only/biogas-only sources,\b(composting|compost\s+facility|industrial\s+compost|in[- ]?vessel\s+compost|IVC|compostage|compostaggio|compostaje|compostagem|kompostierung|kompostering|kompostointi|kompostiranje|composteerinstallatie|composteerbaar|kompostownia|κομποστοποίηση|κομπόστ|堆肥化|堆肥|퇴비화|퇴비|kompostitav\w*)\b,No category-specific exclude regex.,INCLUDE: \b(composting|compost\s+facility|industrial\s+compost|in[- ]?vessel\s+compost|IVC|compostage|compostaggio|compostaje|compostagem|kompostierung|kompostering|kompostointi|kompostiranje|composteerinstallatie|composteerbaar|kompostownia|κομποστοποίηση|κομπόστ|堆肥化|堆肥|퇴비화|퇴비|kompostitav\w*)\b ; EXCLUDE: No category-specific exclude regex.,regex_include_exclude,Priority 3; exclusions are evaluated before inclusion for this category.
Source-level indicator,Stated Organic-waste Treatment Route,What organic-waste treatment route is stated?,Other organic recovery,"The source indicates an organics recovery route other than composting or AD, such as animal feed, insect treatment, rendering, or other food-waste recycling.","animal feed, insect treatment, rendering, food-waste recovery route other than composting/AD",ordinary composting or AD routes,\b(animal\s+feed|feedstock|valorisation|valorization|rendering|black\s+soldier\s+fly|insect|food\s+waste\s+recycling|resource\s+recovery|자원화|사료화)\b,No category-specific exclude regex.,INCLUDE: \b(animal\s+feed|feedstock|valorisation|valorization|rendering|black\s+soldier\s+fly|insect|food\s+waste\s+recycling|resource\s+recovery|자원화|사료화)\b ; EXCLUDE: No category-specific exclude regex.,regex_include_exclude,Priority 4; exclusions are evaluated before inclusion for this category.
